Date,text,event,Decription ,Source,santions,sanctions-general,sanctions-swift,sanctions-foreign,sanctions-nordstream,sanctions-gas,sanctions-food,cold_war_ii-nuclear,cold_war_ii-armament_pump,cold_war_ii-armament_suply,cold_war_ii-biolab,cold_war_ii-china,cold_war_ii-serb,cold_war_ii-belarus,cold_war_ii-colab-alies,nazi-general,nazi-denazification,nazi-mariupol,nazi-bucha,nazi-atrocity,nazi-rehabilitation,nazi-azov,nazi-azovstal,Protecting the Russian World,Ukrainian crisis,self-cleansing from public enemies,5 High-Precision,5 Provocation
2022.03.21,"Mar, 21. A Russian court banned Facebook and Instagram for ""extremist"" activities. The ruling for parent company Meta excluded its messaging platform WhatsApp.","A Russian court banned Facebook and Instagram for ""extremist"" activities.","A Russian court banned Facebook and Instagram for ""extremist"" activities. The ruling for parent company Meta excluded its messaging platform WhatsApp, and the full scale of the impact remains unclear.",https://www.theguardian.com/world/2022/mar/21/russia-bans-facebook-and-instagram-under-extremism-law,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022.03.21,"Mar, 21. Russian troops used stun grenades and gunfire to disperse a rally of pro-Ukrainian protesters in the occupied southern city of Kherson
",Ukraine says Russian forces violently disperse Kherson protest,Ukraine's armed forces said Russian troops used stun grenades and gunfire to disperse a rally of pro-Ukrainian protesters in the occupied southern city of Kherson,"https://www.reuters.com/world/europe/ukraine-says-russian-troops-violently-dispersed-kherson-anti-occupation-rally-2022-03-21/
https://www.aljazeera.com/news/2022/3/21/ukraine-says-russia-shoot-at-protesters-in-occupied-kherson",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2022.03.21,"Mar, 21. Vladimir Putin signs the law recognizing the participants of the special operation as veterans",Putin signs the law recognizing the participants of the special operation as veterans,,https://news.cgtn.com/news/2022-03-26/Putin-signs-law-on-status-of-veterans-18Iqdpwwbfi/index.html,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
2022.03.21,,Deadly shelling in Ukraine’s Kyiv flattens shopping mall,"Russia has shelled houses and a shopping area in Kyiv’s Podil district, killing at least four people",https://www.aljazeera.com/gallery/2022/3/21/photos-smouldering-scenes-of-shelling-close-to-central-kyiv,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.23,"Mar, 23. Russia orders gas payments in rubles by March 31",Russia orders gas payments in rubles by March 31,"The Russian president on Monday instructed the government, central bank, and Gazprom company to switch to rubles by March 31 the payments for the deliveries of gas to “unfriendly countries.”",https://www.aa.com.tr/en/russia-ukraine-war/russia-orders-gas-payments-in-rubles-by-march-31/2547915,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
2022.03.24,,Kharkiv cluster bombing,"Russian missile strike hit a shopping mall parking lot near the Akademika Pavlova metro station. At the time, hundreds of people were waiting outside a post office in the mall to obtain humanitarian aid. After the strike, the people panicked and ran away from the scene of the crime. A rocket strike by the Russian Armed Forces killed 6 civilians and wounded 15 more during the battle of Kharkiv",https://en.wikipedia.org/wiki/March_2022_Kharkiv_cluster_bombing,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.26,,Russian forces attacked the western Ukrainian city of Lviv,"Lviv, western Ukrainian city until now spared from Russian assault, rocked by powerful explosions. One of the strikes hit a fuel storage facility, causing it to catch fire, and a later strike caused ""significant damage"" to the city's infrastructure facilities, according to the city's mayor, Andriy Sadovyi.",https://edition.cnn.com/2022/03/26/europe/lviv-ukraine-attack-saturday-intl/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.27,,Russian forces allegedly damaged another Holocaust memorial in Ukraine,"Jewish groups have condemned a missile attack near a Holocaust memorial park in Kyiv, which commemorates the murder of Jews by the Nazis in World War Two. Babyn Yar was the site of one of the largest mass killings, where Jewish people were lined up and shot.",https://www.bbc.com/news/world-europe-60588885,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.28,"Mar, 28. G7 rejects Russia's demand to pay for gas in rubles ",G7 rejects Russia's demand to pay for gas in rubles ,"The Group of Seven major economies have agreed to reject Moscow’s demand to pay for Russian natural gas exports in rubles, the German energy minister said Monday. Robert Habeck told reporters that “all G7 ministers agreed completely that this (would be) a one-sided and clear breach of the existing contracts” for natural gas, which is used to heat homes, generate electricity and power industry.",https://www.euronews.com/2022/03/28/g7-rejects-russia-s-demand-to-pay-for-gas-in-rubles,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
2022.03.29,"Mar, 29. Russia decided to ""drastically reduce"" military activity in the Kiev and Chernihiv directions. ",Deputy Minister of Defense of the Russian Federation declared that Russia decided to drastically reduce military activity in the Kiev and Chernihiv directions.,"Moscow says it will “drastically reduce military activity” on two fronts — Kyiv and Chernihiv — according to the Russian Ministry of Defense Telegram channel. Russian Deputy Defense Minister Alexander Fomin confirmed ""to radically, at times, reduce military activity,"" according to state media RIA. The move follows talks between Russian and Ukrainian delegations in Istanbul on Tuesday.",https://edition.cnn.com/europe/live-news/ukraine-russia-putin-news-03-29-22/h_05b5d57fd38ef2bd90c0be7fb3481f4a,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,
2022.03.29,,Russian and Ukrainian negotiators meet in Istanbul.,Ukraine puts forward a detailed proposal of neutrality.,https://www.reuters.com/world/europe/ukraine-sets-ceasefire-goal-new-russia-talks-breakthrough-looks-distant-2022-03-29/?utm_source=Sailthru&utm_medium=newsletter&utm_campaign=daily-briefing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.30,,Russia-Ukraine war: Several killed in Mykolaiv attack,"At least 12 were killed and 33 others wounded when a Russian rocket hit a regional government building in the southern Ukrainian port city, local authorities say. Mykolaiv, or Nikolaev, is a city near the Black Sea in southern Ukraine.",https://www.aljazeera.com/news/2022/3/29/seven-people-killed-22-wounded-in-ukraines-mykolaiv-attack,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.31,,"
Chernobyl nuclear power plant returned to Ukrainian control","On February 24, 2022, during the Russian invasion of Ukraine, she was captured by the Russian military. After the capture, the station turned out to be de-energized and switched to emergency temporary diesel generators. It has become impossible for the central authorities in Kyiv to remotely control the parameters of nuclear and radiation safety at the facility. Chernobyl, the site of the world's worst nuclear disaster, fell into the hands of Russian troops in the first week of the war in Ukraine, in late February. 

On March 31, Russian troops announced their intention to leave and handed over control to Ukrainian personnel. The plant is now back under the control of Ukrainian authorities.

С момента захвата на станции были блокированы 210 человек, из них 103 сотрудника станции и 4 сталкера, оказавшихся в тот день в зоне отчуждения.","https://www.iaea.org/newscenter/pressreleases/update-38-iaea-director-general-statement-on-situation-in-ukraine
https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D1%85%D0%B2%D0%B0%D1%82_%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%B1%D1%8B%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D0%AD%D0%A1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.01,,Russia begin enforcing ruble payments for its natural gas exports,"The Russian President’s decision to enforce rouble payments has boosted the Russian currency, which fell to historic lows after the February 24 invasion. “In order to purchase Russian natural gas, they must open rouble accounts in Russian banks. It is from these accounts that payments will be made for gas delivered starting from tomorrow,” Putin said in televised remarks.",https://www.rferl.org/a/russia-putin-ruble-gas-payments/31774413.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.03,"Apr, 3.Ukrainian forces retaking control over the Kyiv region are reporting horrors from Bucha.",Bucha massacre.,"Kyiv region was under control of russian trops from 5 till 30 March. After Ukrainian forces retaking control over, they find a lot of horrors include bodies of men who were apparently killed execution-style, some with their hands tied behind their backs. According to the mayor and other local authorities, approximately 1,300 bodies have been recovered from the town and surrounding areas, including 31 children. Ukrainian officials are urging third-party organizations such as the International Criminal Court to send investigators, and Human Rights Watch says it has documented several cases of apparent war crimes committed by Russian troops. Russia's defense ministry has denied the accusations and also called it ""fakes"".","https://en.wikipedia.org/wiki/Bucha_massacre
https://www.usatoday.com/picture-gallery/news/world/2022/04/04/bucha-ukraine-killing/7267827001/
https://www.nytimes.com/2022/04/04/world/europe/bucha-ukraine-bodies.html
https://www.bbc.com/news/60981238
https://abcnews.go.com/International/photos-show-devastation-bucha-wake-russian-invasion/story?id=83872938
https://meduza.io/feature/2022/04/03/bucha-prigorody-kieva-samye-strashnye-kadry-etoy-voyny
https://edmo.eu/2022/04/06/fact-checking-russian-disinformation-about-buchas-massacre-part-2/",,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,1
2022.04.03,,Air raids rocked Ukraine's strategic Black Sea port Odesa ,"Air strikes rocked Ukraine’s strategic Black Sea port Odessa early Sunday morning, according to an interior ministry official",https://english.alarabiya.net/News/world/2022/04/03/Air-strikes-hit-Ukraine-s-strategic-port-of-Odessa,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.04.06,"Apr, 6. Hungary ready to pay for Russian gas in rubles, says Viktor Orban","Hungary ready to pay for Russian gas in rubles, says Viktor Orban","Hungary said on Wednesday it was prepared to pay roubles for Russian gas, breaking ranks with the European Union which has sought a united front in opposing Moscow's demand for payment in the currency.",https://www.business-standard.com/article/international/hungary-ready-to-pay-for-russian-gas-in-rubles-says-viktor-orban-122040601585_1.html,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2022.04.07,,Bombing of Borodianka,"The Russian Armed Forces completely destroyed Borodyanka near Kyiv. The town of Borodianka was bombed extensively by the Russian Armed Forces during the 2022 Russian invasion of Ukraine. On the territory of Borodyanka, as the chief of staff of the Ministry of Internal Affairs Denis Monastyrsky, there is not a single military facility, but the RF Armed Forces did not send and completely destroyed the settlement.","https://focus.ua/uk/voennye-novosti/511627-vs-rf-polnostyu-razrushili-borodyanku-pod-kievom-gschs-ishchet-dobrovolcev-spasateley-foto
https://focus.ua/uk/voennye-novosti/511741-pod-zavalami-domov-v-borodyanke-nashli-uzhe-26-pogibshih-venediktova-foto
https://en.wikipedia.org/wiki/Bombing_of_Borodianka",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.04.08,"Apr, 8. Sanctions Wave #5 after Bucha: personal, coal, fertilizers, no gas payments in rubles, freezing assets, electronics and weapons export","Fifth round of sanctions introduced: Ban on imports of coal, exports of electronics and weapons to Russia, and payments for energy resources in rubles. Personal sanctions, cessation of interinstitutional cooperation. Freezing of bank assets.","In light of Russia’s continuing war of aggression against Ukraine, and the reported atrocities committed by Russian armed forces in Ukraine, the Council decided today to impose a fifth package of economic and individual sanctions against Russia.",https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/?utm_source=dsms-auto&utm_medium=email&utm_campaign=EU+adopts+fifth+round+of+sanctions+against+Russia+over+its+military+aggression+against+Ukraine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.08,"Apr, 8. Russian fertilizers embargo with the fifth sanctions wave",,,https://www.just-food.com/special-focus/ukraine-crisis/russian-seafood-fertiliser-feature-in-eus-fifth-round-of-sanctions/,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2022.04.08,,Missile strike on Kramatorsk railway station,"a Tochka missile struck a railway station in Kramatorsk, where up to 4,000 civilians, mostly women and children, were waiting to evacuate the city. Ukrainian officials accused Russia of carrying out the attack, and stated that between 98 and 300 civilians were wounded in the strike and at least 50 killed, including 5 children.","https://en.wikipedia.org/wiki/Kramatorsk_railway_station_attack
https://edition.cnn.com/europe/live-news/ukraine-russia-putin-news-04-08-22/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2022.04.10,"Apr, 10. Russian forces completely isolated Azovstal steel plant",The siege Azovstal started,"The Ukrainian metallurgical plant Azovstal became a hotbed of resistance for the Ukrainian army in response to Russia's aggression against Ukraine. From the very beginning of the battles for Mariupol, a large number of people took refuge at the plant. As of April 20, 2022, the number of military personnel was approximately 3 thousand people, and civilians - at least 200. On April 10, more than a month after the start of the invasion, Russian forces completely isolated the Ukrainian military personnel remaining on the territory of the Azovstal plant, however, due to the fortification work carried out by the Ukrainian forces and the complex structure of Azovstal, the ground assault was greatly complicated",https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-april-11,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2022.04.11,"Apr, 11. EU confirms ban to end all Russian coal imports by 10 August",EU confirms ban to end all Russian coal imports by 10 August,"All Russian coal and other solid fossil fuels imports to the EU must stop by 10 August under the bloc’s fifth package of sanctions against Russia in force since Saturday. Only contracts concluded before Saturday to buy, import or transfer Russian coal, directly or indirectly, and any contracts related to them, could continue until 10 August, the EU confirmed in its Official Journal late on Friday.",https://www.montelnews.com/news/1312326/eu-confirms-ban-to-end-all-russian-coal-imports-by-10-august,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
2022.04.11,,"Ukrainian officials say at least 1,200 civilians have been killed in the Kyiv area.","Ukraine's prosecutor general says the bodies of at least 1,200 civilians have been recovered around the capital, Kyiv. The office is also investigating possible war crimes.

Recovery efforts continue in the suburbs, cities and towns outside of Kyiv. Bodies are being found in basements and manholes and being recovered from destroyed buildings and homes.

Russia's troops have fully left the Kyiv region, moving back over the border into Belarus and Russia.

Ukraine is repositioning many of its troops to the east, but soldiers and officials whom NPR talked to say they're not leaving the capital undefended. There are lingering concerns that Russia could renew its attack on the region.",https://www.npr.org/live-updates/ukraine-russia-india-commander-04-11-2022#ukrainian-officials-say-at-least-1-200-civilians-were-killed-in-the-kyiv-area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.12,"Apr, 12. A bill on the possibility of nationalising foreign companies that have left the Russian market has been sent to the Russian parliament.",,,https://www.wsj.com/livecoverage/russia-ukraine-latest-news-2022-04-12/card/russia-advances-law-on-nationalizing-assets-of-foreign-companies-XT2HMh3ljjvy0magt318,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.12,"Apr, 12. During a speech about surging inflation, US President Joe Biden appeared to accuse Russia's Vladimir Putin of genocide.",Biden accuses Russia of 'genocide' in Ukraine,,https://www.bbc.com/news/av/world-us-canada-61089381,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2022.04.14,,"The Russian warship Moskva, the flagship of the Russian Navy's Black Sea Fleet, sank","Russia’s Black Sea flagship missile cruiser, the Moskva, sank while being towed to port after an explosion caused by an unexplained fire, the Russian defence ministry has said, after Ukraine said it had hit the ship with a missile or missiles.",https://www.theguardian.com/world/2022/apr/14/russia-moskva-cruiser-sunk-stormy-seas-defense-ministry,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.04.15,"Apr, 15. Armenia started paying in rubles for Russian gas",Economy minister: Armenia has started paying in rubles for Russia natural gas,"Armenia has started paying in Russian rubles for the Russian natural gas. The minister of economy of Armenia, Vahan Kerobyan, said this in an interview with RBC.",https://armenia-today.com/50059-economy-minister-armenia-has-started-paying-in-rubles-for-russia-natural-gas.html,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
2022.04.15,,Kharkiv cluster bombing,"n the afternoon hours, during the battle of Kharkiv, the Russian Army fired 9N210/9N235 cluster bombs into the Industrialnyi District, striking a residential area and a playground in the Myru Street. Nine civilians died and 35 were injured, including children.","https://en.wikipedia.org/wiki/April_2022_Kharkiv_cluster_bombing
https://www.amnesty.org/en/latest/news/2022/06/ukraine-hundreds-killed-in-relentless-russian-shelling-of-kharkiv-new-investigation/",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.04.17,,"The Russian Defense Ministry said on Sunday that it destroyed an ammunition factory near the city of Brovary, in the Kyiv region, overnight.",,https://www.npr.org/live-updates/russia-invades-ukraine-2022-04-17#russia-renews-attacks-on-kyiv-region-after-retreating-from-the-capital,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.04.17,,A Ukrainian photojournalist who had been missing since March 13 was found dead in a village north of Kyiv,"A Ukrainian photojournalist who went missing last month in a combat zone near Kyiv has been found dead, Ukrainian officials confirm. Maks Levin, 40, was killed with two gunshots, allegedly fired by the Russian military. The office of Ukraine's prosecutor general said they found Levin's body in a village north of Kyiv on Friday.",https://www.npr.org/live-updates/russia-invades-ukraine-2022-04-02#the-body-of-a-missing-ukrainian-photojournalist-has-been-found,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.04.18,,"Russian forces launch a new, large-scale offensive in east Ukraine to take full control of the Luhansk and Donetsk oblasts.",,https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-april-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.20,"April,20. Russia tested new ballistic missile",Russia tested new new ballistic missile,Russian President Vladimir Putin announced Wednesday that his military successfully test-launched an intercontinental ballistic missile with the potential to carry a large nuclear payload,https://www.washingtonpost.com/world/2022/04/20/satan-2-icbm/,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2022.04.22,"April, 22. U.S. Deputy Secretary of State Victoria Nuland said the United States is preparing to give HIMARS and M270 MLRS multiple launch rocket systems to Ukraine",,,https://www.eurointegration.com.ua/interview/2022/04/22/7138250/,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2022.04.23,,Missile attack on Odesa,"The missile strike hit a military facility and two residential buildings, killing eight civilians and wounding 18 or 20, according to Ukraine. Russia confirmed the attack stating the facility targeted was a logistic terminal at a military airfield that housed US and European weapons given to Ukraine.",https://en.interfax.com.ua/news/general/826624.html,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2022.04.25,,"Transniestria, a pro-Russian region in Moldova claims blasts hit a ministry and two radio masts, blaming Ukraine",,https://www.bbc.com/news/world-europe-61233095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.27,"Mar, 24. Russian forces have used tear gas and stun grenades to disperse a pro-Ukrainian rally in the occupied city of Kherson",Pro-Ukraine Rally Dispersed By Russians In Kherson After City Administration Forced Out,,https://www.rferl.org/a/kherson-ukrainian-rally-dispersed/31824009.html,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2022.04.27,"Apr, 27. Russia shuts off gas supplies to Poland and Bulgaria",Russia shuts off gas supplies to Poland and Bulgaria,"Russian state energy giant Gazprom said in a statement Wednesday that it had fully halted supplies to Polish gas company PGNiG and Bulgaria’s Bulgargaz after they refused to meet a demand by Moscow to pay in rubles, rather than euros or dollars.",https://edition.cnn.com/2022/04/26/energy/poland-russia-gas/index.html,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2022.04.27,,"Russia cuts off gas flows to Bulgaria and Poland, allegedly for refusing to pay for gas in roubles.","Mysterious explosions in Transnistria, a breakaway Russian-controlled territory in Moldova bordering on Ukraine, have raised fears that the Ukraine conflict may be spreading.

Separatist authorities said Ukrainian ""infiltrators"" were responsible. But Ukrainian President Volodymyr Zelensky has blamed Russian special services.",https://www.reuters.com/business/energy/gazprom-says-it-halts-gas-supplies-poland-bulgaria-payments-row-2022-04-27/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.27,,Russian forces attacked and destroyed the Zatoka bridge,Russian forces attacked and destroyed the Zatoka bridge with the aim of disconnect the city of Odesa with the rest of the country at the east of Dniester river.,https://atalayar.com/en/content/russia-bombs-strategic-zatoka-bridge-bid-cut-part-odessa,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.04.28,,Ukraine claims Russia fired two missiles into Kyiv during UN Secretary General Antonio Guterres visit to the war-torn country.,,"https://www.cbc.ca/news/world/ukraine-russia-eastern-operation-intensifies-1.6433719#:~:text=World-,Russian%20attack%20targets%20Ukrainian%20capital%20amid%20UN%20chief's%20visit%20to,Russian%20forces%20retreated%20weeks%20ago.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.04.28,,A series of blasts was heard in the early hours of Wednesday in the Russian city Belgorod near the Ukrainian border,,https://www.reuters.com/world/europe/blasts-heard-russian-city-belgorod-near-border-with-ukraine-witnesses-2022-04-03/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.05.01,"May, 1. Evacuations for civilians were carry out from the Azovstal steel factory in Mariupol. Around 100 civilians was being evacuated.

",Evacuation from Mariupol's Azovstal steelworks,More than 100 Ukrainian civilians evacuated from Mariupol's Azovstal steelworks.,https://www.nytimes.com/2022/05/01/world/europe/mariupol-steel-plant-evacuation.html,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,
2022.05.01,,Odesa airport runway ‘destroyed’,Russian forces destroyed the newly built runway of the Odesa Airport,https://www.aljazeera.com/news/2022/5/1/russia-ukraine-war-odesa-airport-runway-destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.05.01,"May, 1. Ruble zone was introduced in Kherson region, the territory under control of Russian military",Ruble zone was introduced in Kherson region,,https://www.bbc.com/news/world-europe-61286505,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2022.05.04,"May, 4. European Commission chief announces further Russia sanctions, including oil, banks, broadcasters",,,https://www.euractiv.com/section/global-europe/news/commission-chief-announces-further-russia-sanctions-including-oil-banks-broadcasters/,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.05.05,"May, 5. EU announced 3 major Russian banks (inc. Sberbank) to be disconnected from SWIFT",EU announces removing the largest (Sberbank) and two major banks from Swift network,,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/sanctions-against-russia-8211-a-timeline-69602559,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2022.05.07,,Odesa bombing,"The city was bombed, with four missiles hitting a civilian building and another two on the city airport",https://www.nytimes.com/live/2022/05/07/world/ukraine-russia-war-news,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.05.07,,a bomb strikes a village school in Bilohorivka,"At least 60 people are feared dead after a bomb strikes a village school in Bilohorivka, eastern Ukraine","https://www.bbc.com/news/world-europe-61369229
https://www.hindustantimes.com/world-news/more-than-60-feared-dead-in-bombing-of-ukrainian-school-101652050776204.html",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.05.09,,Russia fired three Kinzhal missiles to Odesa Oblast.,"At that time, President of the European Council Charles Michel and Prime Minister of Ukraine Denys Shmyhal were in Odesa and had to hide in a bomb shelter. In the evening of the same day, Russian troops fired rockets at three warehouses in Odesa and a shopping centre in the village of Fontanka near the city. One person was killed, and two people were injured in the warehouses, and three people were injured in the mall.",https://www.bbc.com/russian/news-61391346,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.05.09,"May, 9. Victory Day. A holiday that commemorates the victory over Nazi Germany in 1945",,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
2022.05.12,,Finland announces it will seek NATO membership,,https://www.aljazeera.com/news/2022/5/12/finland-must-apply-to-join-nato-without-delay-finnish-leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.05.17,"May, 17. Ukraine’s military declares the end to the Azovstal operation in Mariupol ",Ukraine’s military declares an end to the Azovstal operation in Mariupol. ,,https://www.aljazeera.com/news/2022/5/16/russian-shelling-kills-civilians-in-donbas-ukraine-says-liveblog,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,
2022.05.18,"May,18. Finland and Sweden simultaneously handed in their official letters of application to join NATO",Finland and Sweden formally apply to join the NATO alliance.,,https://www.nato.int/cps/en/natohq/news_195468.htm,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2022.05.20,"May, 20. Russian army takes control of Mariupol’s Azovstal steel plant",Russian army takes control of Mariupol’s Azovstal steel plant,"Military operations on the territory of the Mariupol metallurgical plant Azovstal and its environs took place as part of the battles for Mariupol during the Russian invasion of Ukraine from March 18 to May 20, 2022. On 16 May, Agreements were reached, according to which Ukrainian servicemen surrender, and the Russian side takes them out of the territory of Azovstal to the territory controlled by the DPR. On May 20,  the surrender of all Ukrainian servicemen",https://www.theguardian.com/world/2022/may/20/russian-army-takes-control-of-mariupols-azovstal-steel-plant,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,1,
2022.05.21,"May, 21. Russia halts gas supplies to Finland",Russia halts gas supplies to Finland,"Helsinki has been refusing to pay for its supplies in roubles. But the cut-off also follows an announcement that Finland will apply for Nato membership. Despite its invasion of Ukraine on 24 February, Russia continues to supply gas to many European countries.",https://www.bbc.com/news/world-europe-61524933,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
2022.05.22,"May, 22. Cessation of Russian gas, oil, electricity imports by Lithuania",The cessation of gas imports from Russia by Lithuania,"The Ministry of Energy of the Republic of Lithuania announced that from May 22, Lithuania will no longer receive gas, oil and electricity from Russia.","https://www.republicworld.com/world-news/russia-ukraine-crisis/lithuania-announces-cessation-of-russian-oil-gas-and-electricity-imports-from-may-22-articleshow.html#:~:text=The%20Ministry%20of%20Energy%20of,oil%20and%20electricity%20from%20Russia.&text=Image%3A%20Twitter-,The%20Ministry%20of%20Energy%20of%20the%20Republic%20of%20Lithuania%20announced,oil%20and%20electricity%20from%20Russia.",1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
2022.05.23,"May, 23 Alexandr Lukashenko and Vladimir Putin met in Sochi",,,http://kremlin.ru/events/president/news/68460,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
2022.05.24,"May, 24. Adoption in the first reading of the bill on the nationalization of assets of foreign companies",Adoption in the first reading of the bill on the nationalization of assets of foreign companies,,https://www.wsj.com/livecoverage/russia-ukraine-latest-news-2022-05-24/card/russia-moves-ahead-with-bill-on-nationalizing-assets-of-foreign-companies-OQ8d2B8n2MlAdNKwQRKf,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2022.05.26,,"Russian forces continue a slow encirclement of Severdonetsk, and are reportedly in possession of the northeastern portion of the city.",Ukrainian Deputy Defence Minister Anna Malyar says “fighting has reached its maximum intensity. The enemy is storming the positions of our troops in several directions simultaneously”.,https://t.me/stranaua/44113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.05.31,"May, 31. Russia halts gas supplies to Netherlands and some Danish and German companies",Russia cuts gas supplies to Netherlands and firms in Denmark and Germany,,https://www.theguardian.com/world/2022/may/31/russia-cuts-gas-supplies-dutch-state-trader-sanctions-war,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2022.05.31,,Russian forces occupy the centre of Severdonetsk as Ukrainian troops make a tactical retreat.,,https://twitter.com/GeoConfirmed/status/1531013767928111104,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.05.31,,The EU bans Russian oil and petroleum products,"The EU bans Russian oil and petroleum products, following a decision on a sixth package of sanctions against Russia. A temporary exception is made for pipeline oil, after the objections of landlocked countries that they could not easily supply themselves by sea.",https://www.consilium.europa.eu/en/press/press-releases/2022/05/31/european-council-conclusions-on-ukraine-30-may-2022/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
